Rank,Mall,Country,City (metropolitan area),Year opened,Gross leasable area (GLA),Shops
8895,"The Avenues, Bahrain",Bahrain,Bahrain Bay,2017,273000;2940000,680
3423,Jamuna Future Park,Bangladesh,Dhaka,2013,380000;4100000,200
7123,West Edmonton Mall,Canada,"Edmonton, Alberta",1981,350000;3800000,800
1786,South China Mall,China,Dongguan,2005,659612;7100000,2350
5213,SM Tianjin,China,Tianjin,2016,565000;6080000,1000
5768,Golden Resources Mall,China,Beijing,2004,557419;6000010,750
9834,Global Harbor,China,Shanghai,2013,480000;5200000,450
1935,New Century Global Center,China,Chengdu,2013,400000;4300000,2300
1423,Zhengjia Plaza (Grandview Mall),China,Guangzhou,2005,280000;3000000,180
6200,Haikou International Duty Free City,China,"Haikou, Hainan",2022,280000;3000000,200
5492,Centro Mayor,Colombia,Bogota,2010,280000;3000000,250
3580,Centro Comercial Santafé,Colombia,Bogota,2006,250000;2700000,150
6865,Mal Taman Anggrek,Indonesia,Jakarta,1996,360000;3900000,150
5279,Gandaria City,Indonesia,Jakarta,2010,336279;3619680,250
447,Medan Centre Point,Indonesia,Medan,2013,270000;2900000,680
3119,Mal Artha Gading,Indonesia,Jakarta,2004,270000;2900000,330
1512,Tunjungan Plaza,Indonesia,Surabaya,1986,253187;2725280,250
4921,Iran Mall,Iran,Tehran,2018,1950000;21000000,2500
69,Isfahan City Center,Iran,Isfahan,2012,650000;7000000,350
5671,Persian Gulf Complex,Iran,Shiraz,2011,450000;4800000,355
1364,The Avenues Mall,Kuwait,Al Rai,2007,425000;4570000,1100
2727,IOI City Mall,Malaysia,Putrajaya,2014,821000;8840000,650
1623,1 Utama,Malaysia,Petaling Jaya,1995,519328;5590000,503
3580,Sunway Pyramid,Malaysia,Subang Jaya,1997,400000;4300000,1000
4509,Berjaya Times Square,Malaysia,Kuala Lumpur,2003,320000;3400000,200
4558,Lucky One Mall,Pakistan,Karachi,2017,340000;3700000,200
4050,The Grand Central Mall,Pakistan,Faisalabad,-1,310000;3300000,0
7798,Emporium Mall,Pakistan,Lahore,2016,250000;2700000,200
3257,Albrook Mall,Panama,Panama City,2002,380000;4100000,200
6696,SM Mall of Asia,Philippines,Pasay (Metro Manila),2006,589891;6349530,3500
9243,SM City North EDSA,Philippines,Quezon City (Metro Manila),1985,497213;5351960,1000
6375,SM Megamall,Philippines,Mandaluyong (Metro Manila),1991,474000;5100000,1000
6972,SM Seaside City Cebu,Philippines,Cebu City,2015,470486;5064270,700
9744,Festival Alabang,Philippines,Muntinlupa (Metro Manila),1998,400000;4300000,250
8458,Limketkai Center,Philippines,Cagayan de Oro,1992,320000;3400000,250
9888,SM City Fairview,Philippines,Quezon City (Metro Manila),1997,312749;3366400,350
5554,SM City Cebu,Philippines,Cebu City,1993,273804;2947200,680
5656,Glorietta,Philippines,Makati (Metro Manila),1991,250000;2700000,300
6515,Greenbelt,Philippines,Makati (Metro Manila),1991,250000;2700000,300
5063,Greenwich Mall,Russia,Ekaterinburg,2006,258673;2784330,250
517,Mall of Arabia,Saudi Arabia,Jeddah,2010,261000;2810000,187
4821,Lotte World Mall,South Korea,Seoul,2014,383470;4127600,200
5838,Dream Mall,Taiwan,Kaohsiung,2007,400000;4300000,250
4058,Central WestGate,Thailand,Nonthaburi (Bangkok Metropolitan Region),2015,550278;5923140,500
5225,CentralWorld,Thailand,Bangkok,1990,550000;5900000,600
7148,ICONSIAM,Thailand,Bangkok,2018,525000;5650000,550
1789,Siam Paragon,Thailand,Bangkok,2005,400000;4300000,200
3361,Central Phuket,Thailand,Phuket,2004,400000;4300000,250
4677,Fashion Island (Thailand),Thailand,Bangkok,1995,350000;3800000,150
9030,The Dubai Mall,United Arab Emirates,Dubai,2008,350000;3800000,400
5015,Mall of America,United States,"Bloomington, MN (Minneapolis–Saint Paul)",1992,520257;5600000,520
8603,American Dream Meadowlands,United States,"East Rutherford, NJ (New York City area)",2019,280000;3000000,200
3689,King of Prussia,United States,King of Prussia (Philadelphia metropolitan area),1963,259500;2793000,200
959,Aventura Mall,United States,Aventura (Miami area),1983,250000;2700000,300
6717,South Coast Plaza,United States,Costa Mesa (Greater Los Angeles),1967,250000;2700000,286
3070,Centro Sambil,Venezuela,Caracas,1998,250000;2700000,300
